totexp,food,hhincomepc
5392.428223,3818.761719,9828.571429
2644.791748,762.958313,4500
1725,600,8505
2114.791748,551.291687,6650
996.041687,554.708313,5883.333333
2484.75,1292.416626,4510
1155.833374,700.583313,7080
6461.25,1634.5,7100
2956.666748,1328.833374,8592
3218.666748,1247.666626,37320
9942.916992,2454.333252,5734.769231
7141.666504,3252.5,746.9230769
4274.833496,2100.083252,21920
3212.208252,1609.875,25828.57143
3332.458252,2096.458252,7039.285714
4702.291504,2317.875,5509.090909
2594.416748,1172.25,3146
3628.083252,1191.5,2787
4991.25,1453.416748,26400
4219.416504,1570.75,8616.8
3141.666748,1401,5040
3838.761963,1154.595215,6600
2902.5,1345.666626,4285.714286
6328.166504,1395.5,4125
2444.5,1470,8836.363636
3631.083252,1813.166626,7955.5
3540.75,1468.75,3709.090909
3868.833252,1374.333374,3600
3527.916748,1726.583374,5142.857143
3696.75,1387,15088.8
4258.416504,1429.75,6700
1704.666626,1157,8800
3840,1865.333374,8400
3249.5,1650.916626,8250
7265.666504,1095.666626,14057.14286
3812.333252,1448,12666.66667
4701.416504,1966,8520
1354.916626,865.916687,8600
5793.75,1842,10080
1995.583374,937.166687,40208.32
3676.833252,1406.5,3546.666667
2105.916748,990,8000
5240.25,1994.5,10391.42857
4662.583496,2240.833252,5372.727273
3262.583252,1287,20400
2999.666748,1437.166626,6550
4711.5,1455.666626,14400
4731.666504,1552,22708
7476.75,3292.583252,7892.857143
4734.333496,1472.333374,19428.57143
4254.333496,1820.166626,17852.66667
1978.833374,666.5,14030
610.75,295.0833435,7400
2168.166748,1003.916687,9600
4156.5,2205.5,26148.88889
4399.333496,869.75,6960
2329.242188,891.7422485,14700
5450.5,1188.5,53109
2844.166748,1096.833374,19600
6466.833496,1435.166626,9816
2496.666748,1122.166626,6514.285714
1885.166626,758.166687,13377.71429
3513.833252,1314.166626,17840
4548.583496,1623,14824
5132.25,3498.333252,10300
4586.333496,2128.166504,20580
4644.583496,2449.416748,2437.5
1539.583374,969.416687,6933.333333
2845.416748,1196.75,6380
2061.083252,1318.916748,10080
4594,1986.333374,7200
5026.833496,2161,14342.22222
5376.75,2560,7693.333333
9170.583008,3729.5,4267.8
4375.75,2594.083496,8250
3875.916748,1950,1832.727273
2477,1567.666626,3364.444444
4309.583496,2773.25,10746.66667
4857.5,1662.166626,5200
6517.048828,3381.549072,8311.428571
5007.029297,1626.279419,16050
2717.916748,1220.500122,1911.111111
3499.083252,1674.166626,40636.90909
4070.998535,1222.081909,4222.666667
3042.916748,1505.666626,8750.909091
2963.070068,1400.903442,4959
5634.789551,2261.122559,16472
3813.117432,1175.950684,5088
3997.916748,1635,872.7272727
3388.601807,1411.935181,6033.333333
1957.333374,1757.333374,1300
3670.206543,1182.289917,1033
3614.973877,1663.473999,6480
8597.235352,1698.902344,291.6666667
2542,1085.833374,3905
4409.617676,1005.784546,11580
6434.256836,3159.25708,13882.5
1396.784668,527.7846069,4400
5288.265625,1925.265381,4157.5
2694.5,1613.333252,5673.6
8908.508789,4984.008301,3855
11601.85059,1576.2677,6030
1203.833374,430,2450.666667
15643.86328,1489.613647,4800
3517.333252,1216.666626,1500
3558.757568,1397.424316,7920
9135.319336,2553.319336,1924.411765
1460.054688,1052.888062,978.125
6776.6875,1630.1875,25333.33333
2392.404785,871.6548462,4178
1156.76123,660.5945435,3120
1913.105469,542.1887817,5500
2237.10083,1151.100708,3891.416306
7663.606934,2711.689941,18800
8857.443359,5063.109863,12191.66667
11356.84766,2640.264404,12800
9092.4375,2224.437744,49150
9343.003906,1500.170532,5810
3255.085449,1071.752075,38417.5
3475.594482,1036.594604,1768
3532.606689,2151.773193,11910
3133.755127,1439.421753,2000
5418.875488,2107.875732,7422.857143
3954.769775,1658.519653,23200
3572.627197,1018.793884,8550
2329.053711,1408.970337,6000
5120.522461,2030.355957,11826.86884
14041,3881.5,15603.125
4356.989746,1233.822876,4500
7914.791504,1951.458374,38360
6343,1448.833374,17280
8991,1756.666626,28900
11571.58301,2197.583252,22800
11057.41699,1944.833374,33640
6247.25,1494.916626,14920
17159.66602,1680,40800
1430,843.75,5100
11987,2611.166748,14000
9335.833008,1748.666626,39312.5
22705.8125,2307.479004,86590
22359.33398,4719.166504,15644.44444
19602.16602,1643,110466.6667
2173.833252,875.25,24000
1004.153931,571,9313.487721
3633.083252,1568.083374,4113.6
5004.166504,2592.833252,3685.714286
2407.916748,1207.75,8425
3027.166748,1672.666626,6723.12
2996.5,1337.583374,3707.142857
3456.583252,1580,3343
4265.583496,2075.583496,6401.5
3722.426025,1286.842651,9383.333333
5450.083496,2147.5,8451
5390.583496,1758,12218
4912.833496,747.416687,14553.33333
5495.166504,1927.833374,4565.5
5403.5,1442.083374,7368.4
1991.916626,1225.666626,3413.278184
2830.928711,1861.083374,4622.565592
4795.905273,1405.333374,5654.075183
3988.348389,1874,7787.782085
3961.988525,1680.083374,20504.45864
2730.014893,944.5,4417.754846
4964.083496,1767,8412
3711.488525,1582,6191.053702
4568.944336,1445.861084,2095.714286
4896.285156,1878.379883,4143.036695
4343.333496,1772.75,8622.5
2402.75,1225.166626,3543.5
6577.825684,1875.902832,12364.33257
10734.33301,3565.5,6063.636364
5752.333496,1413.083374,6795.428571
4347.765137,1636,11169.31982
2229.5,1269.833374,4794.4
4821.166504,2180.166504,13579.85714
11393.41699,2085.75,13346
49174.91797,2796.833252,7241.153846
3598.5,1723.916626,8258.666667
4530.65625,1429.822876,15182.85714
7742.833496,1607.083374,12000
6836.25,2240.166748,8718.333333
2768.729248,1216.145874,4315.714286
6465.833496,3137.083252,9027.5
11714.75,5110.166504,7999.5
1749.083374,779.166687,1000
2480.166748,1043,8304
5896.333496,2072.333252,12612
8844.083008,2473.166748,12035
2698.583252,1346.333374,4864.285714
6929.25,1754,13436
13533.96387,2452.547363,12020
3910.880127,1659.630127,18772.72727
2651.416748,553.5,14141.33333
5009.567871,1540.901489,17828
3615.81543,1388.305176,7280.937007
1511.284424,1007.117798,10238.18182
20748.04102,1566.040161,8358.4
2938.125244,1428.291992,5057.142857
