"wage","age","educ","exper","union","female","married","urban"
9.89999961853027,31,8,16,1,1,1,1
8.125,24,8,9,0,0,0,1
0.467391312122345,41,7,27,1,0,1,0
14.5597829818726,47,6,34,0,0,1,0
7.53260850906372,21,8,6,0,0,0,0
7.53260850906372,23,9,7,0,0,0,0
7.53260850906372,37,4,26,0,0,1,0
1.67391300201416,28,2,19,0,0,0,0
1.67391300201416,33,4,22,0,0,0,0
1.67391300201416,51,6,38,0,0,1,0
1.92499995231628,20,10,3,1,1,0,0
1.67391300201416,49,0,42,0,1,0,0
8.03804302215576,36,5,24,0,0,1,0
6.92999982833862,36,9,20,1,1,1,0
2.48958325386047,43,5,31,0,0,1,0
3.07291674613953,39,3,29,0,1,1,0
2.3152174949646,34,7,20,1,0,1,0
3.40217399597168,31,7,17,0,1,1,0
7.53260850906372,45,6,32,1,0,1,0
6.22826099395752,42,6,29,0,0,1,0
3.29347825050354,40,2,31,0,1,1,0
3.78125,45,4,34,1,0,1,0
3.78125,36,4,25,0,0,1,0
3.78125,31,5,19,0,0,1,0
3.78125,34,0,27,0,0,1,0
3.78125,20,5,8,0,0,0,0
3.78125,41,4,30,0,0,1,0
3.78125,34,1,26,0,0,1,0
3.78125,23,2,14,0,0,1,0
6.65104150772095,32,7,18,1,1,0,0
3.78125,33,3,23,0,0,1,0
1.71111106872559,32,6,19,0,1,1,0
4.71875,45,8,30,0,0,1,0
1.16250002384186,42,8,27,0,1,1,0
3.94565224647522,46,6,33,0,0,1,0
4.03333330154419,20,7,6,0,0,0,0
4.03333330154419,25,7,11,0,1,0,0
6.640625,45,1,37,0,0,1,0
3.11111116409302,24,4,13,0,1,0,0
3.37222218513489,24,7,10,0,1,0,0
0.777777791023254,27,8,12,0,1,0,0
3.37222218513489,54,6,41,0,1,0,0
4.0625,38,9,22,0,0,1,0
3.609375,31,9,15,0,1,1,0
4.0625,30,9,14,0,0,0,0
3.86904764175415,33,2,24,0,0,0,0
4.33333349227905,34,5,22,0,0,1,0
3.37222218513489,27,6,14,0,0,0,0
3.6130952835083,41,6,28,0,1,0,0
3.37222218513489,24,4,13,0,0,0,0
3.37222218513489,28,6,15,0,1,0,0
4.33333349227905,38,4,27,0,0,1,0
3.37222218513489,21,7,7,0,1,0,0
3.61249995231628,24,5,12,0,0,0,0
4.0625,20,8,5,0,1,0,0
3.37222218513489,20,6,7,0,1,0,0
3.42916655540466,26,6,13,0,0,0,0
3.37222218513489,21,7,7,0,1,0,0
3.65625,22,6,9,0,0,0,0
3.65625,31,8,16,0,0,1,0
3.25,27,8,12,0,0,0,0
3.75,44,3,34,0,0,0,0
3.75,39,3,29,0,1,0,0
3.38541674613953,36,3,26,0,0,1,0
3.75,34,3,24,0,1,1,0
3.75,30,9,14,0,1,0,0
3.61111116409302,25,10,8,0,0,1,0
2.94565224647522,22,8,7,0,0,0,0
3.38750004768372,25,1,17,0,0,0,0
3.25,54,1,46,0,0,0,0
3.65625,41,2,32,0,0,0,0
3.48214292526245,29,2,20,0,0,0,0
